96_and1p1.py;0;220_phoenix-123.py;100.0;1;375_f1score.py;100.0;2;186_kardosrambo.py;100.0;
375_f1score.py;3;220_phoenix-123.py;100.0;4;186_kardosrambo.py;100.0;
44_pseudouser.py;5;38_davyjing.py;100.0;
68_fanzhh.py;6;339_fanzhh.py;100.0;
411_Sakamono.py;7;31_sshang.py;100.0;
414_iofu728.py;8;409_gunjianpan-5.py;100.0;
265_hzhao16.py;9;206_wanghezhi.py;100.0;
220_phoenix-123.py;10;186_kardosrambo.py;100.0;
74_thumbpixels.py;11;422_bobalice.py;75.0;12;53_nhatdx.py;26.6;
408_matchalatte.py;13;304_mitribunskiy.py;44.8;14;195_pingany.py;31.0;15;77_tonyliang1026.py;31.5;
77_tonyliang1026.py;16;304_mitribunskiy.py;31.5;17;165_weak-chicken.py;33.3;18;92_dddog-2.py;24.5;19;393_JeromeZhang.py;22.8;
436_sxdDDD.py;20;115_xwinderx20.py;34.7;
54_azala.py;21;231_alanmiller.py;31.3;
17_QAMichaelPeng.py;22;76_tuanpnm.py;32.1;23;26_wxy9018.py;24.0;
26_wxy9018.py;24;80_WaxOnWaxOff.py;28.0;25;146_czhangaegean.py;26.0;
335_ywang10.py;26;133_bigmiaomiao.py;24.0;
92_dddog-2.py;27;304_mitribunskiy.py;24.1;
53_nhatdx.py;28;422_bobalice.py;24.2;
428_function.py;29;146_czhangaegean.py;23.0;
